! :: ,(!,Fat)
altered_daily :: ,(altered_daily,NP)
alternativa :: ,(alternativa,NC)
alternativas :: ,(alternativas,NP)
altura :: ,(altura,NC)
aluvião :: ,(aluvião,NC)
ambiental :: ,(ambiental,AQ)
ambiente :: ,(ambiente,NC)
ambos :: ,(ambos,PI)
ameaças :: ,(ameaça,NC)
americano :: ,(americano,AQ)
americanos :: ,(americano,NC)
amiga :: ,(amigo,AQ)
amigas :: ,(amigo,AQ)
amostras :: ,(amostra,NC)
andaram :: ,(andar,VMI)
andará :: ,(andar,VMI)
angariação :: ,(angariação,NC)
animais :: ,(animal,NC)
ano :: ,(ano,NC)
ano_2000 :: ,([??:??/??/2000:??.??:??],W)
anos :: ,(ano,NC)
antecipados :: ,(antecipar,VMP)
anterior :: ,(anterior,AQ)
anteriormente :: ,(anterior,RG)
antes :: ,(antes,RG),(antes,NP)
antevê :: ,(antever,VMI)
antigo :: ,(antigo,AQ)
antrópico :: ,(antrópico,AQ)
antye_greie :: ,(antye_greie,NP)
anual :: ,(anual,AQ)
análise :: ,(análise,NC)
anúncio :: ,(anúncio,NC)
anúncios :: ,(anúncio,NC)
ao_cabo_de :: ,(ao_cabo_de,SP)
apa :: ,(apa,NP)
apagar :: ,(apagar,VMN)
aparece :: ,(aparecer,VMI)
apelo :: ,(apelo,NC)
apenas :: ,(apenas,RG)
apetece :: ,(apetecer,VMI)
aplicar :: ,(aplicar,VMN)
apodou :: ,(apodar,VMI)
apoiada :: ,(apoiar,VMP)
aponta :: ,(apontar,VMI)
apontar :: ,(apontar,VMN)
apostada :: ,(apostar,VMP)
apostou :: ,(apostar,VMI)
apresentada :: ,(apresentar,VMP)
apresentadas :: ,(apresentar,VMP)
apresentado :: ,(apresentar,VMP)
apresentados :: ,(apresentar,VMP)
apresentar :: ,(apresentar,VMN)
apresentará :: ,(apresentar,VMI)
apresentava :: ,(apresentar,VMI)
apresentavam :: ,(apresentar,VMI)
apresentação :: ,(apresentação,NC)
aproveitando :: ,(aproveitar,VMG)
após :: ,(após,SP)
aquela :: ,(aquele,PD)
aquele :: ,(aquele,DD)
aqui :: ,(aqui,RG)
aquilo :: ,(aquilo,PD)
arde :: ,(arder,VMI)
arquitecto :: ,(arquitecto,NC),(arquitectar,VMI)
arquitectura :: ,(arquitectura,NC)
arquivado :: ,(arquivar,VMP)
arquivamento :: ,(arquivamento,NC)
arquivar :: ,(arquivar,VMN)
arranque :: ,(arranque,NC)
arrepio :: ,(arrepio,NC)
arrumados :: ,(arrumar,VMP)
artes :: ,(arte,NC)
artigo :: ,(artigo,NC)
artista :: ,(artista,NC)
artistas :: ,(artista,NC)
artística :: ,(artístico,AQ)
artístico :: ,(artístico,AQ)
as :: ,(o,DA),(o,PD),(as,NP)
assentará :: ,(assentar,VMI)
assentimento :: ,(assentimento,NC)
assim :: ,(assim,RG)
assinado :: ,(assinar,VMP)
assinala :: ,(assinalar,VMI)
assinalou :: ,(assinalar,VMI)
assinou :: ,(assinar,VMI)
associação_de_caçadores :: ,(associação_de_caçadores,NP)
associações :: ,(associação,NC)
assume :: ,(assumir,VMI)
assunto :: ,(assunto,NC)
ataques :: ,(ataque,NC)
atenção :: ,(atenção,NC)
atinge :: ,(atingir,VMI)
atingido :: ,(atingir,VMP)
atingir :: ,(atingir,VMN)
atordoado :: ,(atordoar,VMP)
atravessam :: ,(atravessar,VMI)
através :: ,(através,RG)
até :: ,(até,SP),(até,RG)
audiovisual :: ,(audiovisual,AQ)
auditoria :: ,(auditoria,NC)
aujeszky :: ,(aujeszky,NP)
aumentado :: ,(aumentar,VMP)
aumentou :: ,(aumentar,VMI)
ausente :: ,(ausente,AQ)
ausentes :: ,(ausente,AQ)
ausências :: ,(ausência,NC)
autarquia :: ,(autarquia,NC)
automóvel :: ,(automóvel,NC)
autores :: ,(autor,NC)
autoria :: ,(autoria,NC)
autoridade :: ,(autoridade,NC)
autorização :: ,(autorização,NC)
autorizações :: ,(autorização,NC)
avalanche :: ,(avalanche,NC)
avaliar :: ,(avaliar,VMN)
avança :: ,(avançar,VMI)
avanços :: ,(avanço,NC)
avenida_do_mar :: ,(avenida_do_mar,NP)
aventura :: ,(aventura,NC)
averbado :: ,(averbar,VMP)
aí :: ,(aí,RG)
babette_mangolte :: ,(babette_mangolte,NP)
bailarinos :: ,(bailarino,NC)
baixa :: ,(baixo,AQ),(baixa,NP)
baixo :: ,(baixo,AQ)
balanços :: ,(balanço,NC)
banco :: ,(banco,NC)
bancos :: ,(banco,NC)
bancário :: ,(bancário,AQ)
banda :: ,(banda,NC)
barómetro :: ,(barómetro,NC)
barómetro_da_mobilidade :: ,(barómetro_da_mobilidade,NP)
base :: ,(base,NC)
base64,r0lgodlhaqabaaaaach5baekaaealaaaaaabaaeaaaictaeaow :: ,(base64,r0lgodlhaqabaaaaach5baekaaealaaaaaabaaeaaaictaeaow,Z)
baseia :: ,(basear,VMI)
bastante :: ,(bastante,RG)
bateria :: ,(bateria,NC)
batidas :: ,(batida,NC)
bed_legs :: ,(bed_legs,NP)
belgrado :: ,(belgrado,NP)
bem :: ,(bem,RG)
ben_chasny :: ,(ben_chasny,NP)
benfica :: ,(benfica,NP)
bloco_de_esquerda :: ,(bloco_de_esquerda,NP)
blues :: ,(blues,NC)
boa :: ,(bom,AQ)
boaventura_de_sousa_santos :: ,(boaventura_de_sousa_santos,NP)
bocado :: ,(bocado,NC)
boka_kafé :: ,(boka_kafé,NP)
bom :: ,(bom,AQ)
bonecas :: ,(boneca,NC)
bovinos :: ,(bovino,NC)
bracarense :: ,(bracarense,AQ)
braga :: ,(braga,NP)
brando :: ,(brando,AQ)
brilho :: ,(brilho,NC)
brincar :: ,(brincar,VMN)
brinquedo :: ,(brinquedo,NC)
brinquedos :: ,(brinquedo,NC),(brinquedos,NP)
brown :: ,(brown,NP)
