! :: ,(!,-)
ano_2000 :: ,([??:??/??/2000:??.??:??],-)
anos :: ,(ano,-)
antecipados :: ,(antecipar,-)
anterior :: ,(anterior,-)
anteriormente :: ,(anterior,-)
antes :: ,(antes,-)
antevê :: ,(antever,-)
antigo :: ,(antigo,-)
antrópico :: ,(antrópico,-)
antye_greie :: ,(antye_greie,-)
anual :: ,(anual,-)
análise :: ,(análise,-)
anúncio :: ,(anúncio,-)
anúncios :: ,(anúncio,-)
ao_cabo_de :: ,(ao_cabo_de,-)
apa :: ,(apa,-)
apagar :: ,(apagar,-)
aparece :: ,(aparecer,-)
apelo :: ,(apelo,-)
apenas :: ,(apenas,-)
apetece :: ,(apetecer,-)
aplicar :: ,(aplicar,-)
apodou :: ,(apodar,-)
apoiada :: ,(apoiar,-)
aponta :: ,(apontar,-)
apontar :: ,(apontar,-)
apostada :: ,(apostar,-)
apostou :: ,(apostar,-)
apresentada :: ,(apresentar,-)
apresentadas :: ,(apresentar,-)
apresentado :: ,(apresentar,-)
apresentados :: ,(apresentar,-)
apresentar :: ,(apresentar,-)
apresentará :: ,(apresentar,-)
apresentava :: ,(apresentar,-)
apresentavam :: ,(apresentar,-)
apresentação :: ,(apresentação,-)
aproveitando :: ,(aproveitar,-)
após :: ,(após,-)
aquela :: ,(aquele,-)
aquele :: ,(aquele,-)
aqui :: ,(aqui,-)
aquilo :: ,(aquilo,-)
arde :: ,(arder,-)
arquitecto :: ,(arquitecto,-),(arquitectar,-)
arquitectura :: ,(arquitectura,-)
arquivado :: ,(arquivar,-)
arquivamento :: ,(arquivamento,-)
arquivar :: ,(arquivar,-)
arranque :: ,(arranque,-)
arrepio :: ,(arrepio,-)
arrumados :: ,(arrumar,-)
artes :: ,(arte,-)
artigo :: ,(artigo,-)
artista :: ,(artista,-)
artistas :: ,(artista,-)
artística :: ,(artístico,-)
artístico :: ,(artístico,-)
as :: ,(o,-),(as,-)
assentará :: ,(assentar,-)
assentimento :: ,(assentimento,-)
assim :: ,(assim,-)
assinado :: ,(assinar,-)
assinala :: ,(assinalar,-)
assinalou :: ,(assinalar,-)
assinou :: ,(assinar,-)
associação_de_caçadores :: ,(associação_de_caçadores,-)
associações :: ,(associação,-)
assume :: ,(assumir,-)
assunto :: ,(assunto,-)
ataques :: ,(ataque,-)
atenção :: ,(atenção,-)
atinge :: ,(atingir,-)
atingido :: ,(atingir,-)
atingir :: ,(atingir,-)
atordoado :: ,(atordoar,-)
atravessam :: ,(atravessar,-)
através :: ,(através,-)
até :: ,(até,-)
audiovisual :: ,(audiovisual,-)
auditoria :: ,(auditoria,-)
aujeszky :: ,(aujeszky,-)
aumentado :: ,(aumentar,-)
aumentou :: ,(aumentar,-)
ausente :: ,(ausente,-)
ausentes :: ,(ausente,-)
ausências :: ,(ausência,-)
autarquia :: ,(autarquia,-)
automóvel :: ,(automóvel,-)
autores :: ,(autor,-)
autoria :: ,(autoria,-)
